URL,Name,Brand,product_specs,Screen Size,CPU,RAM,Storage,OS,Graphics
https://www.jarir.com/sa-en/asus-laptops-592364.html,"Asus Vivobook Pro 15 OLED Laptop  15.6"", AMD Ryzen 5, 8 GB RAM, 512 GB PCIe NVMe M.2 SSD, Windows 11, NVIDIA GeForce 4 GB",Asus,"15.6""
AMD Ryzen 5
8 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11
NVIDIA GeForce 4 GB
15.6""
AMD Ryzen 5
8 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11
NVIDIA GeForce 4 GB","15.6""",AMD Ryzen 5,8 GB RAM,512 GB PCIe NVMe M.2 SSD,Windows 11,NVIDIA GeForce 4 GB
https://www.jarir.com/sa-en/huawei-laptops-631589.html,"Huawei MateBook D 14 Laptop  14"", Intel Core i5, 16 GB RAM, 512 GB PCIe NVMe M.2 SSD, Windows 11 Home, Intel Iris Xe Graphics",Huawei,"14""
Intel Core i5
16 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11 Home
Intel Iris Xe Graphics
14""
Intel Core i5
16 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11 Home
Intel Iris Xe Graphics","14""",Intel Core i5,16 GB RAM,512 GB PCIe NVMe M.2 SSD,Windows 11 Home,Intel Iris Xe Graphics
https://www.jarir.com/sa-en/huawei-laptops-633445.html,"Huawei MateBook D 14 2023 Laptop  14"", Intel Core i5, 8 GB RAM, 512 GB PCIe NVMe M.2 SSD, Windows 11, Intel Iris Xe Graphics",Huawei,"14""
Intel Core i5
8 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11
Intel Iris Xe Graphics
14""
Intel Core i5
8 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11
Intel Iris Xe Graphics","14""",Intel Core i5,8 GB RAM,512 GB PCIe NVMe M.2 SSD,Windows 11,Intel Iris Xe Graphics
https://www.jarir.com/sa-en/apple-macbook-air-laptops-558437.html,"Apple MacBook Air 13 M1 Retina Laptop  13.3"", M1, 8 GB RAM, 256 GB SSD, macOS Big Sur, 7 Core GPU",Apple,"13.3""
M1
8 GB RAM
256 GB SSD
macOS Big Sur
7 Core GPU
13.3""
M1
8 GB RAM
256 GB SSD
macOS Big Sur
7 Core GPU","13.3""",M1,8 GB RAM,256 GB SSD,macOS Big Sur,7 Core GPU
https://www.jarir.com/sa-en/huawei-laptops-638525.html,"Huawei MateBook 14 Laptop  14.2"", Intel Core Ultra 5, 16 GB RAM, 1 TB M.2 NVMe PCIe 4.0 SSD, Windows 11 Home, Intel Arc Graphics",Huawei,"14.2""
Intel Core Ultra 5
16 GB RAM
1 TB M.2 NVMe PCIe 4.0 SSD
Windows 11 Home
Intel Arc Graphics
14.2""
Intel Core Ultra 5
16 GB RAM
1 TB M.2 NVMe PCIe 4.0 SSD
Windows 11 Home
Intel Arc Graphics","14.2""",Intel Core Ultra 5,16 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,Intel Arc Graphics
https://www.jarir.com/sa-en/huawei-laptops-632176.html,"Huawei MateBook D 16 2024 Laptop  16"", Intel Core i5, 16 GB RAM, 512 GB PCIe NVMe M.2 SSD, Windows 11 Home",Huawei,"16""
Intel Core i5
16 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11 Home
16""
Intel Core i5
16 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11 Home","16""",Intel Core i5,16 GB RAM,512 GB PCIe NVMe M.2 SSD,Windows 11 Home,
https://www.jarir.com/sa-en/hp-14-eh1001nx-laptops-618713.html,"HP Pavilion Plus Laptop  14"", Intel Core i7, 16 GB RAM, 1 TB PCIe NVMe M.2 SSD, Windows 11, NVIDIA GeForce 4 GB",HP,"14""
Intel Core i7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11
NVIDIA GeForce 4 GB
14""
Intel Core i7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11
NVIDIA GeForce 4 GB","14""",Intel Core i7,16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11,NVIDIA GeForce 4 GB
https://www.jarir.com/sa-en/asus-laptops-621750.html,"Asus Vivobook 16 Laptop  16"", Intel Core i5, 8 GB RAM, 512 GB PCIe NVMe M.3 SSD, Windows 11",Asus,"16""
Intel Core i5
8 GB RAM
512 GB PCIe NVMe M.3 SSD
Windows 11
16""
Intel Core i5
8 GB RAM
512 GB PCIe NVMe M.3 SSD
Windows 11","16""",Intel Core i5,8 GB RAM,512 GB PCIe NVMe M.3 SSD,Windows 11,
https://www.jarir.com/sa-en/huawei-laptops-631440.html,"Huawei MateBook 14 Laptop  14"", Intel Core i5, 16 GB RAM, 512 GB, Windows 11, Intel Iris Xe Graphics",Huawei,"14""
Intel Core i5
16 GB RAM
512 GB
Windows 11
Intel Iris Xe Graphics
14""
Intel Core i5
16 GB RAM
512 GB
Windows 11
Intel Iris Xe Graphics","14""",Intel Core i5,16 GB RAM,512 GB,Windows 11,Intel Iris Xe Graphics
https://www.jarir.com/sa-en/huawei-matebook-laptops-617689.html,"Huawei MateBook D 14 2023 Laptop  14"", Intel Core i7, 16 GB RAM, 1 TB M.2 NVMe PCIe 3.0 SSD, Windows 11, Intel Iris Xe Graphics",Huawei,"14""
Intel Core i7
16 GB RAM
1 TB M.2 NVMe PCIe 3.0 SSD
Windows 11
Intel Iris Xe Graphics
14""
Intel Core i7
16 GB RAM
1 TB M.2 NVMe PCIe 3.0 SSD
Windows 11
Intel Iris Xe Graphics","14""",Intel Core i7,16 GB RAM,1 TB M.2 NVMe PCIe 3.0 SSD,Windows 11,Intel Iris Xe Graphics
